     -0.1194734857 a       226     0    10     1     1
     -0.0519646926 a       227     0    10     1     2
      0.2695189211 a       228     0    10     1     3
      0.1949127973 a       229     0    10     1     4
     -0.3223686713 a       230     0    10     1     5
     -0.1576817175 a       231     0    10     1     6
     -0.4282001493 a       232     0    10     1     7
     -0.1371710075 a       233     0    10     1     8
      0.1615848918 a       234     0    10     1     9
     -0.3830040230 a       235     0    10     1    10
      0.2721800711 a       236     0    10     1    11
     -0.4324305655 a       237     0    10     1    12
      0.2175870135 a       238     0    10     1    13
     -0.2398343781 a       239     0    10     1    14
     -0.0331264466 a       240     0    10     1    15
      0.1041927252 a       241     0    10     1    16
      0.2175506082 a       242     0    10     1    17
     -0.0054114452 a       243     0    10     1    18
      0.1928969528 a       244     0    10     1    19
     -0.0987884658 a       245     0    10     1    20
     -0.3574191259 a       246     0    10     1    21
     -0.2930914093 a       247     0    10     1    22
      0.1131117834 a       248     0    10     1    23
      0.0822352909 a       249     0    10     1    24
      0.0129994296 a       250     0    10     1    25
     -0.1083582850 a       251     0    11     1     1
     -0.0577465073 a       252     0    11     1     2
      0.3684044890 a       253     0    11     1     3
      0.1215344836 a       254     0    11     1     4
     -0.4482173432 a       255     0    11     1     5
     -0.1329870160 a       256     0    11     1     6
     -0.2443182615 a       257     0    11     1     7
     -0.2843680651 a       258     0    11     1     8
      0.3068313322 a       259     0    11     1     9
     -0.3495456624 a       260     0    11     1    10
      0.3426581512 a       261     0    11     1    11
     -0.3792965936 a       262     0    11     1    12
     -0.1186991877 a       263     0    11     1    13
     -0.0342836702 a       264     0    11     1    14
      0.0071324618 a       265     0    11     1    15
     -0.0013057872 a       266     0    11     1    16
      0.0364265174 a       267     0    11     1    17
     -0.1619338854 a       268     0    11     1    18
      0.1467758877 a       269     0    11     1    19
     -0.1466633310 a       270     0    11     1    20
      0.0429133344 a       271     0    11     1    21
     -0.0373826464 a       272     0    11     1    22
      0.0333350523 a       273     0    11     1    23
      0.0892424074 a       274     0    11     1    24
      0.0973195259 a       275     0    11     1    25
     -0.3003511280 a       276     0    12     1     1
      0.1007717213 a       277     0    12     1     2
      0.1801993597 a       278     0    12     1     3
     -0.1803087629 a       279     0    12     1     4
      0.0982645609 a       280     0    12     1     5
     -0.1704234004 a       281     0    12     1     6
     -0.3513220114 a       282     0    12     1     7
     -0.0366134281 a       283     0    12     1     8
     -0.1208515439 a       284     0    12     1     9
     -0.1357617830 a       285     0    12     1    10
      0.2565174313 a       286     0    12     1    11
     -0.7647912436 a       287     0    12     1    12
     -0.1748395885 a       288     0    12     1    13
      0.1702644068 a       289     0    12     1    14
     -0.1666550663 a       290     0    12     1    15
     -0.0158794263 a       291     0    12     1    16
      0.1199138398 a       292     0    12     1    17
      0.0632813030 a       293     0    12     1    18
      0.1789115765 a       294     0    12     1    19
     -0.1783441356 a       295     0    12     1    20
      0.2498997842 a       296     0    12     1    21
     -0.2181155608 a       297     0    12     1    22
      0.2533183282 a       298     0    12     1    23
      0.0006405893 a       299     0    12     1    24
     -0.1807038361 a       300     0    12     1    25
     -0.1512219974 a       301     0    13     1     1
     -0.1016021708 a       302     0    13     1     2
      0.0573992828 a       303     0    13     1     3
     -0.0191851026 a       304     0    13     1     4
      0.1354951877 a       305     0    13     1     5
     -0.0840339944 a       306     0    13     1     6
     -0.1254673134 a       307     0    13     1     7
     -0.0827017067 a       308     0    13     1     8
      0.1209089209 a       309     0    13     1     9
     -0.2308944483 a       310     0    13     1    10
      0.2141685253 a       311     0    13     1    11
     -0.1488745182 a       312     0    13     1    12
     -0.1324199409 a       313     0    13     1    13
     -0.0537712046 a       314     0    13     1    14
      0.0287522345 a       315     0    13     1    15
     -0.0022939261 a       316     0    13     1    16
      0.1482066699 a       317     0    13     1    17
      0.1016036510 a       318     0    13     1    18
      0.2339012261 a       319     0    13     1    19
     -0.1118773758 a       320     0    13     1    20
      0.0166081490 a       321     0    13     1    21
     -0.1424082734 a       322     0    13     1    22
      0.1405422200 a       323     0    13     1    23
      0.2183794576 a       324     0    13     1    24
     -0.0377172565 a       325     0    13     1    25
     -0.1444015299 a       326     0    14     1     1
     -0.1248334231 a       327     0    14     1     2
      0.1286022866 a       328     0    14     1     3
      0.0000877457 a       329     0    14     1     4
